JD,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2016,y2018,y2019,y2020,y2021
37.0,264.4,260.27,262.04,260.73,260.45,256.68,257.95,257.31,257.31,258.84,256.98,256.46,262.53,259.85,0.0,258.26,259.17,258.74,260.36,0.0
38.0,264.39,260.21,262.01,260.7,260.36,256.68,257.89,257.28,257.31,258.81,256.95,256.46,262.47,259.81,0.0,258.26,259.11,258.71,260.3,0.0
39.0,264.36,260.15,261.95,260.67,260.3,256.68,257.86,257.25,257.28,258.78,256.92,256.43,262.41,259.81,0.0,258.26,259.05,258.65,260.27,0.0
40.0,264.33,260.09,261.92,260.69,260.24,256.68,257.83,257.25,257.28,258.75,256.92,256.4,262.34,259.78,0.0,258.23,259.02,258.62,260.21,0.0
41.0,264.33,260.06,261.86,260.61,260.15,256.68,257.8,257.25,257.25,258.75,256.89,256.37,262.28,259.75,259.75,258.23,258.96,258.59,260.15,0.0
42.0,264.33,260.0,261.83,260.56,260.09,256.64,257.77,257.22,257.22,258.75,256.86,256.34,262.22,259.72,0.0,258.23,258.93,258.53,260.09,0.0
43.0,264.33,259.94,261.83,260.57,260.09,256.64,257.74,257.28,257.19,258.72,256.83,256.31,262.16,259.69,259.75,258.2,258.9,258.47,260.03,0.0
44.0,264.33,259.88,261.8,260.52,259.94,256.64,257.71,257.31,257.16,258.69,256.83,256.28,262.13,259.63,259.75,258.2,258.84,258.41,260.0,0.0
45.0,264.33,259.85,261.77,260.45,259.88,256.64,257.68,257.35,257.16,258.69,256.83,256.25,262.1,259.57,259.72,258.17,258.78,258.38,259.96,0.0
46.0,264.3,259.8,261.73,260.39,259.72,256.64,257.62,257.38,257.13,258.66,256.8,256.22,262.07,259.54,259.69,258.14,258.74,258.35,259.96,0.0
47.0,264.26,259.74,261.7,260.33,259.72,256.64,257.56,257.38,257.1,258.66,256.8,256.19,262.01,259.57,259.69,258.11,258.71,258.32,259.93,0.0
48.0,264.23,259.69,261.67,260.27,259.72,256.64,257.53,257.41,257.07,258.66,256.8,256.16,261.95,259.54,259.66,0.0,258.68,258.29,259.9,0.0
49.0,264.2,259.63,261.64,260.27,259.72,256.64,257.47,257.41,257.07,258.66,256.8,256.13,261.92,259.51,259.66,258.11,258.65,0.0,259.85,0.0
50.0,264.17,259.57,261.61,260.24,259.54,256.64,257.44,257.41,257.04,258.63,256.77,256.1,261.89,259.51,259.63,258.08,258.62,0.0,259.81,0.0
51.0,264.14,259.54,261.58,260.21,259.51,256.64,257.41,257.41,257.01,258.63,256.77,256.07,261.83,259.48,259.63,0.0,258.59,258.1,259.78,0.0
52.0,264.11,259.48,261.55,260.18,259.48,256.61,257.38,257.41,256.98,258.63,256.77,256.04,261.77,259.48,259.6,258.08,258.53,0.0,259.75,0.0
53.0,264.08,259.45,261.43,260.15,259.45,256.61,257.31,257.38,256.95,258.59,256.74,256.0,261.7,259.45,259.57,0.0,258.47,0.0,259.72,0.0
54.0,264.05,259.42,261.4,260.12,259.39,256.61,257.28,257.35,256.92,258.59,256.71,256.0,261.64,259.42,259.57,0.0,258.38,0.0,259.66,0.0
55.0,264.02,259.42,261.37,260.09,259.33,256.58,257.25,257.31,256.92,258.56,256.68,255.97,261.58,259.39,259.94,0.0,258.32,0.0,259.63,0.0
56.0,263.96,259.39,261.34,260.09,259.27,256.58,257.19,257.31,256.89,258.53,256.68,255.94,261.52,259.36,259.51,257.86,258.26,0.0,259.57,0.0
57.0,263.9,259.36,261.31,260.06,259.21,256.58,257.16,257.31,256.86,258.5,256.64,255.94,261.46,259.33,259.51,257.83,258.2,0.0,259.51,0.0
58.0,263.84,259.33,261.25,260.03,259.14,256.58,257.13,257.28,256.83,258.47,256.61,255.91,261.4,259.3,259.48,257.8,258.14,257.71,259.45,0.0
59.0,263.79,259.3,261.22,260.0,259.08,256.55,257.1,257.28,256.8,258.44,256.58,255.88,261.28,259.24,259.48,257.8,0.0,0.0,259.38,0.0
60.0,263.73,259.27,261.16,259.97,259.02,256.55,257.04,257.25,256.77,258.41,256.55,255.88,261.28,259.21,259.48,257.77,258.04,0.0,259.32,0.0
61.0,263.66,259.24,261.12,259.97,258.96,256.55,257.01,257.25,256.74,258.38,256.52,255.85,261.22,259.14,259.51,257.77,257.98,0.0,259.29,0.0
62.0,263.62,259.21,261.09,259.94,258.9,256.55,256.98,257.22,256.74,258.32,255.49,255.85,261.16,259.11,259.51,0.0,257.89,0.0,259.23,0.0
63.0,263.59,259.24,261.03,259.91,258.84,256.55,256.95,257.19,256.71,258.26,256.46,255.85,261.09,259.05,259.48,257.71,257.83,0.0,259.2,0.0
64.0,263.56,259.21,260.97,259.83,258.78,256.55,256.92,257.19,256.68,258.2,256.43,255.82,261.03,258.99,259.45,257.71,257.8,0.0,259.2,0.0
65.0,263.53,259.17,260.94,259.81,258.72,256.55,256.86,257.19,256.64,258.14,256.4,255.79,260.97,258.98,259.45,257.64,257.74,257.37,259.08,0.0
66.0,263.48,259.17,260.88,259.75,258.66,256.58,256.8,257.16,256.61,258.11,256.37,255.79,260.91,258.9,259.42,257.64,257.71,0.0,259.05,0.0
67.0,263.41,259.17,260.82,259.69,258.53,256.58,256.77,257.13,256.58,258.05,256.31,255.79,260.85,258.84,259.42,257.64,257.68,0.0,258.99,0.0
68.0,263.35,259.14,260.76,259.63,258.47,256.58,256.74,257.1,256.58,258.02,256.28,255.79,260.79,258.81,259.42,257.64,257.62,0.0,258.96,0.0
69.0,263.29,259.12,260.7,259.57,258.47,256.58,256.71,257.04,256.55,257.99,256.25,255.76,260.76,258.75,259.39,0.0,257.56,0.0,258.93,0.0
70.0,263.2,259.11,260.64,259.51,258.41,256.61,256.68,256.98,256.52,257.99,256.22,255.73,260.7,258.69,259.39,257.56,257.53,0.0,258.9,0.0
71.0,263.14,259.11,260.58,259.48,258.32,256.61,256.64,256.95,256.49,257.95,256.19,255.7,260.64,258.63,259.36,257.56,257.5,0.0,258.87,0.0
72.0,263.08,259.11,260.57,259.45,258.23,256.58,256.58,256.95,256.46,257.92,256.13,255.67,260.61,258.56,259.36,257.56,257.46,257.13,258.84,0.0
73.0,263.05,259.11,260.45,259.39,258.14,256.58,256.55,256.95,256.43,257.92,256.1,255.64,260.58,258.53,259.33,257.56,257.4,0.0,0.0,0.0
74.0,262.98,259.11,260.39,259.33,258.05,256.58,256.55,256.92,256.4,257.86,256.04,255.64,260.55,258.47,259.3,257.56,257.37,0.0,0.0,0.0
75.0,262.92,259.08,260.33,259.27,257.95,256.58,256.52,256.89,256.37,257.83,255.0,255.61,260.52,258.41,259.3,257.56,257.34,0.0,0.0,0.0
76.0,262.86,259.06,260.27,259.21,257.83,256.55,256.49,256.83,256.34,257.77,255.97,255.58,260.48,258.38,259.27,257.56,257.31,0.0,0.0,0.0
77.0,262.8,259.05,260.2,259.14,257.77,256.55,256.46,256.8,256.31,257.71,255.94,255.55,260.45,258.32,0.0,257.53,257.28,0.0,0.0,0.0
78.0,262.71,259.02,260.15,259.11,257.71,256.55,256.43,256.77,256.28,257.68,255.91,255.52,260.39,258.26,259.21,257.5,257.28,0.0,258.68,0.0
79.0,262.65,259.0,260.09,259.08,257.65,256.55,256.4,256.74,256.25,257.65,255.88,255.49,260.33,258.2,259.21,257.47,257.25,0.0,0.0,0.0
80.0,262.59,258.99,260.03,259.02,257.59,256.55,256.37,256.71,256.22,257.65,255.85,255.46,260.27,258.14,259.21,257.44,257.22,0.0,0.0,0.0
81.0,262.51,258.99,259.97,258.96,257.56,256.52,256.34,256.68,256.19,257.65,255.85,255.46,260.21,258.11,259.17,257.44,257.19,0.0,0.0,0.0
82.0,262.44,258.96,259.91,258.9,257.5,256.52,256.31,256.64,256.19,257.65,255.82,255.43,260.18,258.08,259.17,257.44,257.16,0.0,0.0,0.0
83.0,262.41,258.9,259.85,258.84,257.41,256.44,256.25,256.61,256.19,257.62,255.79,255.43,260.12,258.02,259.17,0.0,257.1,0.0,0.0,0.0
84.0,262.35,258.87,259.78,258.81,257.31,256.45,256.22,256.58,256.16,257.62,255.76,255.43,260.09,257.95,259.17,257.38,257.07,0.0,0.0,0.0
85.0,262.29,258.24,259.72,258.75,257.25,256.46,256.19,256.55,256.16,257.62,255.73,255.43,260.06,257.92,0.0,257.35,257.04,0.0,0.0,0.0
86.0,262.23,258.81,259.66,258.69,257.19,256.46,256.16,256.49,256.16,257.62,255.7,255.39,260.03,257.89,259.08,257.31,256.98,256.61,0.0,0.0
87.0,262.2,258.81,259.54,258.63,257.13,256.43,256.1,256.43,256.13,257.59,255.7,255.36,259.97,257.86,259.05,257.28,256.92,256.58,0.0,0.0
88.0,262.13,258.81,259.48,258.56,257.07,256.43,256.04,256.4,256.13,257.56,255.67,255.33,259.91,257.83,259.02,0.0,0.0,256.55,0.0,0.0
89.0,262.1,258.81,259.0,258.56,257.04,256.43,256.0,256.34,256.13,257.56,255.67,255.3,259.85,257.8,258.99,257.28,0.0,256.52,0.0,0.0
90.0,262.07,258.81,259.42,258.44,257.01,256.34,255.97,256.31,256.13,257.56,255.64,255.27,259.81,257.77,258.96,0.0,0.0,256.49,0.0,0.0
