Daily Reservoir trends for India from 01-Jan-2015 to 24-Jan-2021

Dates,Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"16-Oct-2017",118.5163,121.187,112.134
"17-Oct-2017",118.3411,121.032,112.148
"18-Oct-2017",118.2036,120.587,112.73
"19-Oct-2017",117.9625,120.407,113.161
"20-Oct-2017",117.8334,120.503,113.086
"21-Oct-2017",117.5752,119.904,113.132
"22-Oct-2017",117.4017,119.416,113.141
"23-Oct-2017",117.1555,119.164,113.135
"24-Oct-2017",116.9729,119.247,112.909
"25-Oct-2017",116.6316,118.426,112.843
"26-Oct-2017",116.369,118.209,112.722
"27-Oct-2017",116.134,118.251,112.494
"28-Oct-2017",116.3957,117.601,112.298
"29-Oct-2017",115.9805,117.162,112.11
"30-Oct-2017",115.6858,116.695,111.946
"31-Oct-2017",115.4889,116.361,111.707
"01-Nov-2017",115.1168,115.829,111.338
"02-Nov-2017",114.8853,115.612,111.063
"03-Nov-2017",114.6351,115.379,110.712
"04-Nov-2017",114.4192,115.166,110.353
"05-Nov-2017",113.7479,114.467,110.048
"06-Nov-2017",113.6312,114.303,109.778
"07-Nov-2017",113.2909,113.385,109.486
"08-Nov-2017",112.8835,113.44,107.427
"09-Nov-2017",112.6803,113.09,108.794
"10-Nov-2017",112.4141,113.094,108.476
"11-Nov-2017",111.9846,112.357,108.131
"12-Nov-2017",111.6173,111.965,107.785
"13-Nov-2017",111.3596,111.646,107.458
"14-Nov-2017",111.0361,111.225,106.844
"15-Nov-2017",110.7244,110.552,106.561
"16-Nov-2017",110.4473,110.353,106.283
"17-Nov-2017",110.1399,110.079,105.652
"18-Nov-2017",109.9001,109.63,105.685
"19-Nov-2017",109.5616,109.33,105.129
"20-Nov-2017",109.196,108.984,104.972
"21-Nov-2017",108.8965,108.668,104.505
"22-Nov-2017",108.3472,108.232,104.124
"23-Nov-2017",108.0973,107.907,103.729
"24-Nov-2017",107.8089,107.756,103.352
"25-Nov-2017",107.515,107.426,102.984
"26-Nov-2017",107.0787,107.154,102.586
"27-Nov-2017",106.8294,106.86,102.213
"28-Nov-2017",106.5023,106.544,101.855
"29-Nov-2017",106.0797,105.9,101.041
"30-Nov-2017",105.7965,105.701,100.736
"01-Dec-2017",105.3837,105.391,100.482
"02-Dec-2017",105.1057,104.966,100.243
"03-Dec-2017",104.8073,104.496,100.021
"04-Dec-2017",104.5201,104.222,99.777
"05-Dec-2017",104.1984,103.897,99.459
"06-Dec-2017",103.8071,103.473,98.884
"07-Dec-2017",103.417,102.627,98.653
"08-Dec-2017",103.0591,102.495,98.221
"09-Dec-2017",102.6866,102.195,97.935
"10-Dec-2017",102.2834,101.926,97.621
"11-Dec-2017",101.8745,101.592,97.301
"12-Dec-2017",101.4391,101.365,96.96
"13-Dec-2017",101.0933,100.659,96.527
"14-Dec-2017",100.7666,100.443,96.196
"15-Dec-2017",100.3256,100.252,95.625
"16-Dec-2017",99.9727,99.881,95.283
"17-Dec-2017",99.5289,99.507,94.8
"18-Dec-2017",98.9733,99.203,94.358
"19-Dec-2017",98.5228,98.531,93.671
"20-Dec-2017",98.1365,98.061,93.22
"21-Dec-2017",97.7606,97.878,92.802
"22-Dec-2017",97.2947,97.599,92.298
"23-Dec-2017",96.8538,97.056,91.834
"24-Dec-2017",96.4865,96.588,91.451
"25-Dec-2017",96.0936,96.127,90.983
"26-Dec-2017",95.6284,95.816,90.585
"27-Dec-2017",95.0148,95.016,89.961
"28-Dec-2017",94.6141,94.707,89.605
"29-Dec-2017",94.1883,94.289,88.994
"30-Dec-2017",93.749,93.667,88.575
"31-Dec-2017",93.247,93.253,88.174
"01-Jan-2018",92.64,92.622,88.004
"02-Jan-2018",92.3435,92.468,87.541
"03-Jan-2018",91.8836,91.678,86.677
"04-Jan-2018",91.5157,91.11,86.265
"05-Jan-2018",91.0367,90.773,85.7
"06-Jan-2018",90.7996,91.528,85.868
"07-Jan-2018",90.3348,91.189,84.772
"08-Jan-2018",89.8579,90.877,84.738
"09-Jan-2018",89.2777,90.531,83.826
"10-Jan-2018",88.8274,89.865,83.051
"11-Jan-2018",88.1737,88.25,82.548
"12-Jan-2018",87.6517,87.867,81.994
"13-Jan-2018",87.1612,87.123,81.34
"14-Jan-2018",86.7068,86.965,81.027
"15-Jan-2018",86.2991,87.108,80.402
"16-Jan-2018",85.7437,86.229,79.895
"17-Jan-2018",85.2395,85.535,79.291
"18-Jan-2018",84.7389,85.169,78.705
"19-Jan-2018",84.3786,84.821,78.291
"20-Jan-2018",83.8219,84.413,77.861
"21-Jan-2018",83.3572,84.02,77.305
"22-Jan-2018",82.9211,83.659,76.614
"23-Jan-2018",82.451,83.26,75.894
"24-Jan-2018",81.9345,82.682,75.306
"25-Jan-2018",81.4631,82.391,74.955
"26-Jan-2018",80.9528,82.272,74.448
"27-Jan-2018",80.522,81.683,74.095
"28-Jan-2018",80.0534,81.457,73.267
"29-Jan-2018",79.5914,81.104,72.877
"30-Jan-2018",79.2016,80.802,72.729
"31-Jan-2018",78.7115,80.236,72.066
"01-Feb-2018",78.0113,79.584,71.633
"02-Feb-2018",77.4861,79.295,71.158
"03-Feb-2018",76.989,78.933,70.74
"04-Feb-2018",76.4989,78.564,70.327
"05-Feb-2018",76.2235,78.498,69.999
"06-Feb-2018",75.7293,77.786,69.535
"07-Feb-2018",75.2763,77.364,68.745
"08-Feb-2018",74.7299,76.811,68.304
"09-Feb-2018",74.2239,76.412,67.899
"10-Feb-2018",73.7568,75.977,67.505
"11-Feb-2018",73.1673,75.583,67.091
"12-Feb-2018",72.6948,75.142,66.698
"13-Feb-2018",72.2225,74.748,66.317
"14-Feb-2018",71.6295,73.768,65.576
"15-Feb-2018",71.1231,73.48,65.206
"16-Feb-2018",70.8029,73.01,64.753
"17-Feb-2018",70.3829,72.544,64.352
"18-Feb-2018",69.7944,72.05,63.984
"19-Feb-2018",69.3178,71.647,63.579
"20-Feb-2018",68.927,71.24,63.25
"21-Feb-2018",68.3571,70.333,62.624
"22-Feb-2018",67.8488,69.867,62.255
"23-Feb-2018",67.4185,69.641,61.692
"24-Feb-2018",66.9207,68.738,61.306
"25-Feb-2018",66.3767,68.147,60.901
"26-Feb-2018",66.0979,67.69,60.493
"27-Feb-2018",65.6291,67.245,59.901
"28-Feb-2018",65.1552,66.596,59.55
"01-Mar-2018",64.3302,66.015,58.991
"02-Mar-2018",63.949,65.592,58.671
"03-Mar-2018",63.4991,65.054,58.152
"04-Mar-2018",63.1359,64.655,57.769
"05-Mar-2018",62.5256,64.243,57.005
"06-Mar-2018",62.143,63.888,56.873
"07-Mar-2018",61.771,62.867,56.196
"08-Mar-2018",61.2517,62.073,55.869
"09-Mar-2018",60.8137,61.969,55.45
"10-Mar-2018",60.4096,61.742,54.993
"11-Mar-2018",60.0047,61.136,54.633
"12-Mar-2018",59.7982,60.669,54.297
"13-Mar-2018",59.1063,60.309,53.955
"14-Mar-2018",58.6725,59.869,53.234
"15-Mar-2018",58.3303,59.478,52.761
"16-Mar-2018",57.7461,59.107,52.293
"17-Mar-2018",57.2533,58.672,51.986
"18-Mar-2018",56.9474,58.355,51.439
"19-Mar-2018",56.3223,57.558,51.055
"20-Mar-2018",55.8939,57.759,50.771
"21-Mar-2018",55.4221,56.925,50.424
"22-Mar-2018",54.9193,56.386,49.89
"23-Mar-2018",54.465,56.036,49.432
"24-Mar-2018",54.0492,55.598,48.747
"25-Mar-2018",53.6655,55.302,48.262
"26-Mar-2018",53.2442,54.701,48.24
"27-Mar-2018",52.7813,54.275,47.743
"28-Mar-2018",52.3845,53.793,47.122
"29-Mar-2018",51.9841,53.437,46.944
"30-Mar-2018",51.4768,53.101,46.333
"31-Mar-2018",51.1419,52.762,45.982
"01-Apr-2018",51.0684,54.449,45.688
"02-Apr-2018",50.5674,52.212,45.383
"03-Apr-2018",50.0176,52.058,44.774
"04-Apr-2018",49.6594,51.486,44.278
"05-Apr-2018",49.3811,51.156,44.021
"06-Apr-2018",49.0201,51.013,43.802
"07-Apr-2018",48.5569,50.733,43.386
"08-Apr-2018",48.3495,50.457,44.45
"09-Apr-2018",47.8962,50.196,42.903
"10-Apr-2018",47.6287,49.838,42.492
"11-Apr-2018",47.2801,49.482,42.188
"12-Apr-2018",46.8446,49.147,41.868
"13-Apr-2018",46.4173,48.953,41.613
"14-Apr-2018",46.1611,48.605,41.375
"15-Apr-2018",45.8703,48.337,41.164
"16-Apr-2018",45.5329,48.079,40.968
"17-Apr-2018",45.3056,47.855,40.701
"18-Apr-2018",44.9599,47.258,40.189
"19-Apr-2018",44.5483,46.939,39.945
"20-Apr-2018",44.2845,46.604,39.71
"21-Apr-2018",43.9481,46.186,39.467
"22-Apr-2018",43.8988,46.008,39.245
"23-Apr-2018",43.4507,45.606,39.025
"24-Apr-2018",43.1576,45.089,38.427
"25-Apr-2018",42.9381,44.74,38.229
"26-Apr-2018",42.4276,44.43,37.974
"27-Apr-2018",42.1517,44.206,37.538
"28-Apr-2018",41.7398,43.896,37.277
"29-Apr-2018",41.8184,43.638,37.052
"30-Apr-2018",41.432,43.282,36.715
"01-May-2018",41.0628,42.881,36.401
"02-May-2018",40.8594,42.323,36.158
"03-May-2018",40.4975,41.988,35.911
"04-May-2018",40.0099,41.662,35.609
"05-May-2018",39.766,42.135,35.364
"06-May-2018",39.4789,41.79,34.986
"07-May-2018",39.2017,41.532,34.715
"08-May-2018",38.8051,41.252,34.424
"09-May-2018",38.3918,39.669,34.385
"10-May-2018",38.0036,38.367,33.714
"11-May-2018",37.6737,38.15,33.393
"12-May-2018",37.4373,37.88,33.134
"13-May-2018",37.4649,38.512,32.898
"14-May-2018",36.8991,37.342,32.579
"15-May-2018",36.6537,37.735,32.259
"16-May-2018",36.1965,37.539,31.935
"17-May-2018",35.9805,37.195,31.691
"18-May-2018",35.5729,37.003,31.411
"19-May-2018",35.129,36.804,31.175
"20-May-2018",35.1966,36.691,30.886
"21-May-2018",34.8854,36.434,30.663
"22-May-2018",34.5443,36.296,30.274
"23-May-2018",34.2936,35.718,29.974
"24-May-2018",34.0465,35.609,29.784
"25-May-2018",33.8349,35.468,29.594
"26-May-2018",33.6343,35.434,29.301
"27-May-2018",33.5392,35.205,29.072
"28-May-2018",33.1563,34.818,28.749
"29-May-2018",33.0207,34.663,28.474
"30-May-2018",32.6792,34.283,28.321
"31-May-2018",32.642,34.076,28.186
"01-Jun-2018",32.1682,33.85,27.906
"02-Jun-2018",32.0014,33.628,27.787
"03-Jun-2018",32.0809,33.446,29.673
"04-Jun-2018",31.4975,33.265,27.472
"05-Jun-2018",31.5124,33.111,27.379
"06-Jun-2018",31.2602,32.681,27.206
"07-Jun-2018",31.1279,32.562,27.118
"08-Jun-2018",30.9782,32.334,27.149
"09-Jun-2018",30.8348,32.274,27.029
"10-Jun-2018",30.7208,32.202,27.188
"11-Jun-2018",30.6283,32.115,27.552
"12-Jun-2018",30.6227,32.064,28.012
"13-Jun-2018",30.5522,31.615,28.657
"14-Jun-2018",30.5466,31.528,29.14
"15-Jun-2018",30.512,31.376,29.653
"16-Jun-2018",30.389,31.168,29.877
"17-Jun-2018",30.4814,31.012,30.119
"18-Jun-2018",30.5929,30.853,30.717
"19-Jun-2018",30.6068,30.673,30.304
"20-Jun-2018",30.6233,29.909,30.234
"21-Jun-2018",30.6941,29.854,30.171
"22-Jun-2018",30.9132,29.941,30.054
"23-Jun-2018",31.0279,29.88,29.947
"24-Jun-2018",31.2574,29.755,29.923
"25-Jun-2018",31.4828,29.791,29.921
"26-Jun-2018",31.7817,29.903,30.068
"27-Jun-2018",32.011,29.805,30.165
"28-Jun-2018",32.2732,30.04,30.411
"29-Jun-2018",32.6709,30.564,31.404
"30-Jun-2018",33.0191,30.811,31.908
"01-Jul-2018",33.2664,31.5,32.327
"02-Jul-2018",33.5939,31.971,32.797
"03-Jul-2018",33.9423,32.704,33.019
"04-Jul-2018",34.3442,32.988,33.307
"05-Jul-2018",34.949,33.615,33.612
"06-Jul-2018",35.4395,34.206,34.089
"07-Jul-2018",35.9093,34.453,34.531
"08-Jul-2018",36.5116,34.918,35.252
"09-Jul-2018",36.9947,35.12,35.842
"10-Jul-2018",37.8837,35.929,36.805
"11-Jul-2018",38.8485,36.262,38.212
"12-Jul-2018",39.7129,36.733,39.538
"13-Jul-2018",40.7906,37.288,41.445
"14-Jul-2018",41.6969,37.492,43.39
"15-Jul-2018",42.8051,39.178,45.341
"16-Jul-2018",43.9448,40.247,47.075
"17-Jul-2018",45.2365,41.23,50.056
"18-Jul-2018",46.5853,42.729,52.886
"19-Jul-2018",48.187,43.779,54.793
"20-Jul-2018",49.5311,45.446,56.183
"21-Jul-2018",51.2151,47.995,57.942
"22-Jul-2018",53.002,50.657,60.756
"23-Jul-2018",54.7982,52.718,62.799
"24-Jul-2018",56.9793,55.14,65.368
"25-Jul-2018",59.1855,59.706,66.757
"26-Jul-2018",61.0843,60.752,68.07
"27-Jul-2018",62.934,63.449,69.495
"28-Jul-2018",64.4381,65.802,70.899
"29-Jul-2018",66.2891,67.198,72.107
"30-Jul-2018",67.5257,68.396,72.975
"31-Jul-2018",68.7106,67.634,74.393
"01-Aug-2018",70.4673,68.019,74.786
"02-Aug-2018",71.7083,69.296,75.497
"03-Aug-2018",73.1631,70.044,75.663
"04-Aug-2018",74.9066,71.598,76.066
"05-Aug-2018",76.5221,71.99,76.481
"06-Aug-2018",78.0796,73.073,76.974
"07-Aug-2018",80.5265,73.886,77.451
"08-Aug-2018",82.2689,75.352,78.804
"09-Aug-2018",83.4973,76.025,79.805
"10-Aug-2018",84.7231,75.517,80.252
"11-Aug-2018",85.7442,75.974,80.773
"12-Aug-2018",86.6753,76.32,81.468
"13-Aug-2018",87.8163,76.569,82.755
"14-Aug-2018",88.926,76.95,85.408
"15-Aug-2018",89.9339,77.202,86.226
"16-Aug-2018",91.2307,77.439,87.137
"17-Aug-2018",92.3286,77.65,89.285
"18-Aug-2018",93.0451,77.865,91.317
"19-Aug-2018",94.2468,77.907,91.8
"20-Aug-2018",95.1963,78.791,94.918
"21-Aug-2018",96.0663,79.652,96.599
"22-Aug-2018",96.9084,80.944,101.372
"23-Aug-2018",97.6756,81.459,104.247
"24-Aug-2018",99.1154,81.774,105.627
"25-Aug-2018",99.398,82.42,107.337
"26-Aug-2018",99.8268,82.905,108.669
"27-Aug-2018",100.7268,83.708,109.529
"28-Aug-2018",101.5125,84.304,111.432
"29-Aug-2018",102.7788,86.123,113.943
"30-Aug-2018",103.472,87.552,113.863
"31-Aug-2018",104.2477,88.934,114.511
"01-Sep-2018",105.728,90.212,115.436
"02-Sep-2018",105.9772,90.886,116.175
"03-Sep-2018",106.9791,91.629,117.219
"04-Sep-2018",107.7127,92.251,117.709
"05-Sep-2018",108.8826,92.811,120.6
"06-Sep-2018",110.1233,93.176,119.722
"07-Sep-2018",110.3214,93.381,120.181
"08-Sep-2018",111.0676,93.707,120.642
"09-Sep-2018",111.7571,93.764,121.153
"10-Sep-2018",113.1543,93.99,121.28
"11-Sep-2018",113.7787,94.938,121.617
"12-Sep-2018",113.9341,94.397,124.491
"13-Sep-2018",114.3143,94.49,123.314
"14-Sep-2018",114.6762,94.638,122.915
"15-Sep-2018",115.554,94.832,122.845
"16-Sep-2018",115.3925,94.833,122.626
"17-Sep-2018",115.6807,95.338,122.381
"18-Sep-2018",116.4357,96.755,123.575
"19-Sep-2018",117.4618,98.109,122.925
"20-Sep-2018",117.5038,98.91,121.469
"21-Sep-2018",118.3589,99.811,121.365
"22-Sep-2018",118.6199,101.212,120.931
"23-Sep-2018",118.8829,102.776,121.297
"24-Sep-2018",119.1057,103.857,122.235
"25-Sep-2018",119.2571,103.683,123
"26-Sep-2018",119.7991,105.499,125.136
"27-Sep-2018",119.7845,105.847,123.64
"28-Sep-2018",120.04,106.068,125.11
"29-Sep-2018",120.0673,106.497,124.889
"30-Sep-2018",120.0241,106.821,124.856
"01-Oct-2018",119.8357,107.372,124.634
"02-Oct-2018",119.9583,107.734,124.403
"03-Oct-2018",120.0255,108.156,123.733
"04-Oct-2018",120.0585,108.432,123.458
"05-Oct-2018",119.9187,108.592,122.161
"06-Oct-2018",119.8054,108.615,122.133
"07-Oct-2018",119.8046,108.72,122.163
"08-Oct-2018",119.7846,108.909,121.585
"09-Oct-2018",119.8149,109.148,121.119
"10-Oct-2018",119.6362,109.216,120.589
"11-Oct-2018",119.4511,109.615,120.311
"12-Oct-2018",119.247,110.076,119.493
"13-Oct-2018",119.1401,110.673,119.14
"14-Oct-2018",119.0973,111.201,118.812
"15-Oct-2018",118.9466,111.709,118.362
"16-Oct-2018",118.7643,112.134,117.937
"17-Oct-2018",118.5801,112.148,117.423
"18-Oct-2018",118.4258,112.73,117.22
"19-Oct-2018",118.1977,113.161,116.888
"20-Oct-2018",118.0585,113.086,116.454
"21-Oct-2018",117.7938,113.132,116.086
"22-Oct-2018",117.6318,113.141,115.897
"23-Oct-2018",117.3202,113.135,114.954
"24-Oct-2018",117.1142,112.909,114.564
"25-Oct-2018",116.7739,112.843,114.249
"26-Oct-2018",116.4777,112.722,113.586
"27-Oct-2018",116.2267,112.494,113.19
"28-Oct-2018",116.4505,112.298,112.629
"29-Oct-2018",115.9933,112.11,112.144
"30-Oct-2018",115.4709,111.946,109.552
"31-Oct-2018",115.4817,111.707,111.177
"01-Nov-2018",115.1035,111.338,110.637
"02-Nov-2018",114.8586,111.063,110.013
"03-Nov-2018",114.5995,110.712,109.628
"04-Nov-2018",114.3998,110.353,109.309
"05-Nov-2018",113.7601,110.048,108.779
"06-Nov-2018",113.6335,109.778,108.407
"07-Nov-2018",113.3063,109.486,108.054
"08-Nov-2018",112.9252,107.427,107.822
"09-Nov-2018",112.7146,108.794,107.276
"10-Nov-2018",112.4595,108.476,106.926
"11-Nov-2018",112.1301,108.131,106.569
"12-Nov-2018",111.7714,107.785,106.207
"13-Nov-2018",111.5168,107.458,105.684
"14-Nov-2018",111.2008,106.844,105.209
"15-Nov-2018",110.9079,106.561,104.837
"16-Nov-2018",110.6303,106.283,104.444
"17-Nov-2018",110.3324,105.652,104.193
"18-Nov-2018",110.1249,105.685,103.959
"19-Nov-2018",109.8041,105.129,103.628
"20-Nov-2018",109.4688,104.972,103.41
"21-Nov-2018",109.1048,104.505,102.343
"22-Nov-2018",108.5555,104.124,102.146
"23-Nov-2018",108.3203,103.729,101.896
"24-Nov-2018",108.0246,103.352,101.598
"25-Nov-2018",107.7366,102.984,101.302
"26-Nov-2018",107.3844,102.586,101.022
"27-Nov-2018",107.1314,102.213,100.676
"28-Nov-2018",106.7941,101.855,100.192
"29-Nov-2018",106.3252,101.041,99.17
"30-Nov-2018",106.0083,100.736,98.864
"01-Dec-2018",105.5836,100.482,98.514
"02-Dec-2018",105.2834,100.243,98.205
"03-Dec-2018",104.9949,100.021,97.852
"04-Dec-2018",104.6993,99.777,97.437
"05-Dec-2018",104.3765,99.459,97.072
"06-Dec-2018",103.9119,98.884,96.075
"07-Dec-2018",103.5222,98.653,95.692
"08-Dec-2018",103.3904,98.221,97.639
"09-Dec-2018",103.032,97.935,97.367
"10-Dec-2018",102.6474,97.621,97.08
"11-Dec-2018",101.9489,97.301,93.818
"12-Dec-2018",101.5194,96.96,93.273
"13-Dec-2018",101.2016,96.527,93.464
"14-Dec-2018",100.8576,96.196,92.874
"15-Dec-2018",100.4146,95.625,92.531
"16-Dec-2018",100.079,95.283,92.206
"17-Dec-2018",99.6274,94.8,91.864
"18-Dec-2018",99.0816,94.358,91.534
"19-Dec-2018",98.8762,93.671,93.554
"20-Dec-2018",98.2076,93.22,90.318
"21-Dec-2018",97.8227,92.802,89.897
"22-Dec-2018",97.367,92.298,89.57
"23-Dec-2018",96.9292,91.834,89.215
"24-Dec-2018",96.5765,91.451,88.926
"25-Dec-2018",96.2007,90.983,88.541
"26-Dec-2018",95.7645,90.585,88.243
"27-Dec-2018",95.1593,89.961,87.509
"28-Dec-2018",94.7583,89.605,87.089
"29-Dec-2018",94.3656,88.994,86.82
"30-Dec-2018",93.9966,88.575,87.073
"31-Dec-2018",93.4617,88.174,86.241
"01-Jan-2019",92.9596,88.004,87.509
"02-Jan-2019",92.6278,87.541,87.158
"03-Jan-2019",92.1024,86.677,86.096
"04-Jan-2019",91.4904,86.265,83.188
"05-Jan-2019",91.0093,85.7,82.846
"06-Jan-2019",90.79,85.868,82.51
"07-Jan-2019",90.3237,84.772,82.185
"08-Jan-2019",89.9452,84.738,81.882
"09-Jan-2019",89.5138,83.826,82.913
"10-Jan-2019",89.0975,83.051,82.83
"11-Jan-2019",88.46,82.548,82.473
"12-Jan-2019",87.9483,81.994,82.134
"13-Jan-2019",87.508,81.34,81.873
"14-Jan-2019",87.0679,81.027,81.482
"15-Jan-2019",86.6708,80.402,81.168
"16-Jan-2019",86.1122,79.895,80.642
"17-Jan-2019",85.5938,79.291,79.859
"18-Jan-2019",85.1292,78.705,79.618
"19-Jan-2019",84.7733,78.291,79.201
"20-Jan-2019",84.2308,77.861,78.842
"21-Jan-2019",83.7994,77.305,78.685
"22-Jan-2019",83.3633,76.614,78.056
"23-Jan-2019",82.9065,75.894,77.68
"24-Jan-2019",82.3682,75.306,76.901
"25-Jan-2019",81.9177,74.955,76.627
"26-Jan-2019",81.4112,74.448,76.276
"27-Jan-2019",81.0089,74.095,75.937
"28-Jan-2019",80.5681,73.267,75.664
"29-Jan-2019",80.1284,72.877,75.318
"30-Jan-2019",79.727,72.729,74.669
"31-Jan-2019",79.2571,72.066,74.568
"01-Feb-2019",78.6175,71.633,74.231
"02-Feb-2019",78.1044,71.158,73.907
"03-Feb-2019",77.6166,70.74,73.584
"04-Feb-2019",77.1376,70.327,73.276
"05-Feb-2019",76.8825,69.999,73.032
"06-Feb-2019",76.4426,69.535,72.597
"07-Feb-2019",75.8775,68.745,71.177
"08-Feb-2019",75.3719,68.304,70.941
"09-Feb-2019",74.8852,67.899,70.652
"10-Feb-2019",74.4595,67.505,70.533
"11-Feb-2019",73.8739,67.091,70.195
"12-Feb-2019",73.4068,66.698,69.671
"13-Feb-2019",72.9505,66.317,69.337
"14-Feb-2019",72.3367,65.576,68.613
"15-Feb-2019",71.8603,65.206,68.257
"16-Feb-2019",71.5651,64.753,68.047
"17-Feb-2019",71.1681,64.352,67.827
"18-Feb-2019",70.6073,63.984,67.642
"19-Feb-2019",70.1635,63.579,67.375
"20-Feb-2019",69.703,63.25,66.043
"21-Feb-2019",68.9904,62.624,64.002
"22-Feb-2019",68.6027,62.255,64.691
"23-Feb-2019",68.194,61.692,64.433
"24-Feb-2019",67.1735,61.306,58.68
"25-Feb-2019",66.66,60.901,58.393
"26-Feb-2019",66.3804,60.493,57.831
"27-Feb-2019",65.9298,59.901,57.472
"28-Feb-2019",65.9378,59.55,62.039
"01-Mar-2019",65.3257,58.991,62.828
"02-Mar-2019",64.9615,58.671,62.536
"03-Mar-2019",64.5075,58.152,62.256
"04-Mar-2019",64.1683,57.769,62.022
"05-Mar-2019",63.6439,57.005,61.754
"06-Mar-2019",63.2822,56.873,61.63
"07-Mar-2019",62.7925,56.196,60.573
"08-Mar-2019",62.1766,55.869,59.097
"09-Mar-2019",61.7485,55.45,58.707
"10-Mar-2019",61.355,54.993,58.38
"11-Mar-2019",60.9684,54.633,58.083
"12-Mar-2019",60.7707,54.297,57.775
"13-Mar-2019",60.0917,53.955,57.509
"14-Mar-2019",59.6249,53.234,56.722
"15-Mar-2019",59.2904,52.761,56.429
"16-Mar-2019",58.7076,52.293,56.074
"17-Mar-2019",58.2666,51.986,55.84
"18-Mar-2019",58.0039,51.439,55.501
"19-Mar-2019",57.3724,51.055,55.041
"20-Mar-2019",56.966,50.771,54.791
"21-Mar-2019",56.5142,50.424,54.571
"22-Mar-2019",55.8686,49.89,52.785
"23-Mar-2019",55.427,49.432,52.527
"24-Mar-2019",55.0191,48.747,52.288
"25-Mar-2019",54.6461,48.262,52.018
"26-Mar-2019",53.8116,48.24,47.289
"27-Mar-2019",52.92,47.743,42.623
"28-Mar-2019",53.4006,47.122,51.031
"29-Mar-2019",53.0124,46.944,50.697
"30-Mar-2019",52.5202,46.333,50.426
"31-Mar-2019",52.2015,45.982,50.186
"01-Apr-2019",52.1458,45.688,49.891
"02-Apr-2019",51.6591,45.383,49.658
"03-Apr-2019",51.1024,44.774,49.168
"04-Apr-2019",50.7623,44.278,48.849
"05-Apr-2019",50.5095,44.021,48.64
"06-Apr-2019",50.2,43.802,48.812
"07-Apr-2019",49.7526,43.386,48.617
"08-Apr-2019",49.5512,44.45,48.229
"09-Apr-2019",49.0979,42.903,47.955
"10-Apr-2019",48.9445,42.492,48.719
"11-Apr-2019",48.5633,42.188,48.048
"12-Apr-2019",48.0089,41.868,46.473
"13-Apr-2019",47.5155,41.613,45.48
"14-Apr-2019",47.3395,41.375,46.027
"15-Apr-2019",47.0546,41.164,45.777
"16-Apr-2019",46.7222,40.968,45.509
"17-Apr-2019",46.4814,40.701,44.989
"18-Apr-2019",46.1385,40.189,44.725
"19-Apr-2019",45.741,39.945,44.396
"20-Apr-2019",45.4755,39.71,44.028
"21-Apr-2019",45.1939,39.467,44.255
"22-Apr-2019",45.1495,39.245,44.045
"23-Apr-2019",44.6663,39.025,43.38
"24-Apr-2019",44.3565,38.427,42.935
"25-Apr-2019",44.1368,38.229,42.734
"26-Apr-2019",43.6931,37.974,43.005
"27-Apr-2019",43.4345,37.538,42.786
"28-Apr-2019",43.0451,37.277,42.566
"29-Apr-2019",43.1408,37.052,42.37
"30-Apr-2019",42.7407,36.715,41.878
"01-May-2019",42.4517,36.401,41.966
"02-May-2019",42.198,36.158,41.217
"03-May-2019",41.8764,35.911,41.395
"04-May-2019",41.4274,35.609,41.389
"05-May-2019",41.1619,35.364,40.901
"06-May-2019",40.8798,34.986,40.652
"07-May-2019",40.6081,34.715,40.301
"08-May-2019",40.1975,34.424,39.854
"09-May-2019",39.7941,34.385,39.612
"10-May-2019",39.0303,33.714,35.494
"11-May-2019",38.7702,33.393,35.863
"12-May-2019",38.5452,33.134,35.555
"13-May-2019",38.6277,32.898,35.801
"14-May-2019",38.1931,32.579,36.749
"15-May-2019",37.9593,32.259,36.659
"16-May-2019",37.5696,31.935,36.298
"17-May-2019",37.3575,31.691,35.984
"18-May-2019",36.9534,31.411,35.696
"19-May-2019",36.5662,31.175,36.021
"20-May-2019",36.6009,30.886,35.542
"21-May-2019",36.2149,30.663,34.628
"22-May-2019",35.8637,30.274,34.296
"23-May-2019",35.4866,29.974,33.62
"24-May-2019",35.29,29.784,33.887
"25-May-2019",35.0659,29.594,33.683
"26-May-2019",34.7756,29.301,32.733
"27-May-2019",34.6715,29.072,32.453
"28-May-2019",34.2855,28.749,32.155
"29-May-2019",34.1082,28.474,31.549
"30-May-2019",33.7921,28.321,31.665
"31-May-2019",33.7584,28.186,31.453
"01-Jun-2019",33.2927,27.906,31.296
"02-Jun-2019",33.1246,27.787,31.136
"03-Jun-2019",33.2013,29.673,30.96
"04-Jun-2019",32.6307,27.472,30.867
"05-Jun-2019",32.6173,27.379,30.456
"06-Jun-2019",32.3808,27.206,30.495
"07-Jun-2019",32.2341,27.118,30.324
"08-Jun-2019",32.0576,27.149,30.012
"09-Jun-2019",31.924,27.029,29.843
"10-Jun-2019",31.8133,27.188,29.628
"11-Jun-2019",31.721,27.552,29.446
"12-Jun-2019",31.7137,28.012,29.343
"13-Jun-2019",31.6507,28.657,29.227
"14-Jun-2019",31.5594,29.14,28.276
"15-Jun-2019",31.5263,29.653,28.112
"16-Jun-2019",31.4092,29.877,28.007
"17-Jun-2019",31.5026,30.119,27.892
"18-Jun-2019",31.6002,30.717,27.651
"19-Jun-2019",31.6212,30.304,27.447
"20-Jun-2019",31.6391,30.234,27.27
